dt(GPS)	frame	 LO(m)	 AO(rad)
231.9993	1444	0.0785	-0.0127
231.9993	1445	0.0772	-0.0144
231.9993	1446	0.0777	-0.0157
231.9993	1447	0.0764	-0.0178
231.9993	1448	0.0745	-0.0191
231.9993	1449	0.0747	-0.0214
232.9988	1450	0.0777	-0.0224
232.9988	1451	0.0769	-0.0233
232.9988	1452	0.0771	-0.0249
232.9988	1453	0.0786	-0.0258
232.9988	1454	0.0788	-0.0286
232.9988	1455	0.0790	-0.0301
233.9997	1456	0.0800	-0.0310
233.9997	1457	0.0821	-0.0313
233.9997	1458	0.0821	-0.0320
233.9997	1459	0.0830	-0.0322
233.9997	1460	0.0837	-0.0333
233.9997	1461	0.0858	-0.0340
234.9989	1462	0.0852	-0.0340
234.9989	1463	0.0836	-0.0351
234.9989	1464	0.0837	-0.0361
234.9989	1465	0.0847	-0.0367
234.9989	1466	0.0848	-0.0372
234.9989	1467	0.0851	-0.0363
235.9989	1468	0.0790	-0.0371
235.9989	1469	0.0789	-0.0381
235.9989	1470	0.0778	-0.0381
235.9989	1471	0.0770	-0.0383
235.9989	1472	0.0769	-0.0381
235.9989	1473	0.0767	-0.0385
236.9987	1474	0.3355	-0.0374
236.9987	1475	0.3365	-0.0389
236.9987	1476	0.3376	-0.0399
236.9987	1477	0.3382	-0.0423
236.9987	1478	0.3385	-0.0426
236.9987	1479	0.3395	-0.0431
237.9989	1480	0.3296	-0.0517
237.9989	1481	0.3282	-0.0545
237.9989	1482	0.3277	-0.0560
237.9989	1483	0.3268	-0.0567
237.9989	1484	0.3247	-0.0582
237.9989	1485	0.3224	-0.0601
238.9989	1486	0.0770	-0.0618
238.9989	1487	0.0753	-0.0649
238.9989	1488	0.0754	-0.0665
238.9989	1489	0.0766	-0.0676
238.9989	1490	0.0794	-0.0681
238.9989	1491	0.0803	-0.0681
239.9991	1492	0.0617	-0.0681
239.9991	1493	0.0625	-0.0666
239.9991	1494	0.0629	-0.0572
239.9991	1495	0.0679	-0.0366
239.9991	1496	0.0714	-0.0283
